"fishery_unit_id","country","region","trip","distance","commitment","labour","utilization","economy","disposal","ownership","size","motorization","mechanization","gear","refrigeration","total_char"
"Africa_fishery_unit62","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit63","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit64","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit65","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit66","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit67","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit68","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit69","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit70","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit71","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit72","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit73","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit74","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit75","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit76","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit77","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit78","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit79","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit80","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit81","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit82","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit83","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit84","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit85","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit86","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit87","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit88","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit89","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit90","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit91","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit92","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit93","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit94","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit95","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit96","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit97","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit98","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit99","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit100","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit101","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit102","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit103","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit104","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit105","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit106","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit107","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit108","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit109","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit110","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit111","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit112","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit113","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit114","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit115","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit116","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit117","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit118","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit119","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit120","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit121","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit122","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit123","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit124","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit125","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
